YEAR,QUARTER,CATEGORY_TYPE,CATEGORY_NAME,AMOUNT_AT_CURRENT,PERCENT_SHARE_AT_CURRENT,AMOUNT_AT_CONSTANT,GROWTH_RATE_AT_CONSTANT,DATE_SUBMITTED,TIME_SUBMITTED
2011,Q2,,GDP at market prices,"923,756.61",100,"818,324.83",6.6,27/01/2020,3:03 PM
2011,Q2,,GDP (seasonally adjusted),"911,787.57",,"850,184.84",,27/01/2020,3:03 PM
2011,Q3,Agriculture,Agriculture,"208,751.18",22.7,"160,827.40",4.4,27/01/2020,3:03 PM
2011,Q3,Industry,Mining & Quarrying,"8,617.38",0.9,"7,362.61",14.8,27/01/2020,3:03 PM
2011,Q3,Industry,Manufacturing,"114,409.39",12.5,"95,896.66",5.7,27/01/2020,3:03 PM
2011,Q3,Industry,Electricity & water supply,"17,594.13",1.9,"18,303.68",7.6,27/01/2020,3:03 PM
2011,Q3,Industry,Construction,"42,047.01",4.6,"35,138.62",0.2,27/01/2020,3:03 PM
2011,Q3,sevices,"Wholesale & Retail Trade

","79,855.23",8.7,"61,862.53",5.6,27/01/2020,3:03 PM
2011,Q3,sevices,Accommodation & restaurant,"11,911.69",1.3,"12,367.91",3.9,27/01/2020,3:03 PM
2011,Q3,sevices,Transport & Storage,"71,432.53",7.8,"60,933.05",11,27/01/2020,3:03 PM
2011,Q3,sevices,Information & Communication,"15,797.08",1.7,"27,189.24",11.7,27/01/2020,3:03 PM
2011,Q3,sevices,Financial & Insurance,"57,892.15",6.3,"46,627.32",2.3,27/01/2020,3:03 PM
2011,Q3,sevices,Public administration,"39,171.64",4.3,"33,448.15",3.8,27/01/2020,3:03 PM
2011,Q3,sevices,"Professional, Administration & Support Services","22,645.93",2.5,"20,836.54",1.8,27/01/2020,3:03 PM
2011,Q3,sevices,Real estate,"76,151.15",8.3,"68,421.48",5,27/01/2020,3:03 PM
2011,Q3,sevices,Education,"50,697.20",5.5,"53,382.47",8.3,27/01/2020,3:03 PM
2011,Q3,sevices,Health,"17,034.89",1.9,"15,249.68",0.6,27/01/2020,3:03 PM
2011,Q3,sevices,Other services,"12,699.18",1.4,"11,381.40",1.3,27/01/2020,3:03 PM
2011,Q3,sevices,FISIM,"-24,616.04",-2.7,"-19,212.04",6.1,27/01/2020,3:03 PM
2011,Q3,,All industries at basic prices,"822,091.72",89.5,"710,016.72",5.3,27/01/2020,3:03 PM
2011,Q3,,Taxes on products,"96,095.37",10.5,"97,465.20",11.8,27/01/2020,3:03 PM
2011,Q3,,GDP at market prices,"918,187.10",100,"807,481.92",6.1,27/01/2020,3:03 PM
2011,Q3,,GDP (seasonally adjusted),"948,801.01",,"869,175.74",,27/01/2020,3:03 PM
2011,Q4,Agriculture,Agriculture,"219,597.42",22.8,"160,772.11",0.5,27/01/2020,3:03 PM
2011,Q4,Industry,Mining & Quarrying,"7,812.47",0.8,"7,032.11",13.3,27/01/2020,3:03 PM
2011,Q4,Industry,Manufacturing,"120,314.89",12.5,"100,854.16",4,27/01/2020,3:03 PM
2011,Q4,Industry,Electricity & water supply,"21,705.69",2.3,"19,416.17",11.4,27/01/2020,3:03 PM
2011,Q4,Industry,Construction,"47,182.13",4.9,"38,962.54",8.2,27/01/2020,3:03 PM
2011,Q4,sevices,"Wholesale & Retail Trade

","81,610.08",8.5,"63,115.84",4.8,27/01/2020,3:03 PM
2011,Q4,sevices,Accommodation & restaurant,"10,838.57",1.1,"11,221.61",1.6,27/01/2020,3:03 PM
